0ad a26-17
python-docopt 0.6.2-13
python-filelock 3.13.3-2
python-gobject 3.50.0-1
python-i3ipc 2.2.1-6
python-jinja 1:3.1.4-1
python-keyutils 0.6-10
python-license-expression 30.3.0-1
python-markupsafe 2.1.5-2
python-numpy 2.1.2-1
python-packaging 24.1-1
python-pip 24.2-1
python-pycparser 2.22-2
python-six 1.16.0-9
python-tomlkit 0.13.2-1
python-tqdm 4.66.5-1
python-wheel 0.44.0-2
python-xlib 0.33-3
python-yaml 6.0.2-1
qmmp 2.2.0-2
qrencode 4.1.1-3
qt5-base 5.15.15+kde+r132-1
qt5-svg 5.15.15+kde+r5-1
qt5-translations 5.15.15-1
qt5-x11extras 5.15.15-1
qt6-base 6.8.0-1
qt6-imageformats 6.8.0-1
qt6-svg 6.8.0-1
qt6-translations 6.8.0-1
radiotray-ng 0.2.8-4
radiotray-ng-debug 0.2.8-4
ranger 1.9.3-11
raptor 2.0.16-5
rasqal 1:0.9.33-7
rav1e 0.7.1-1
readline 8.2.013-1
recode 3.7.14-2
redland 1:1.0.17-9
reuse 4.0.3-2
rofi 1.7.5-3
rsync 3.3.0-2
rtmpdump 1:2.4.r105.6f6bb13-1
rtorrent 0.9.8-6
rubberband 3.3.0-2
run-parts 5.17-1
sbc 2.0-2
screenfetch 3.9.1-4
scrot 1.11.1-1
sdl2 2.30.8-1
sed 4.9-3
semver 7.6.3-1
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
slop 7.6-5
smartmontools 7.4-2
smbclient 2:4.21.1-1
snappy 1.2.1-2
sndio 1.10.0-1
sof-firmware 2024.09-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
speedtest-cli 2.1.3-8
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
sshfs 3.7.3-2
startup-notification 0.12-8
sudo 1.9.16-1
suitesparse 7.8.2-1
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
systemd 256.7-1
systemd-libs 256.7-1
systemd-sysvcompat 256.7-1
taglib 2.0.2-1
talloc 2.4.2-3
tar 1.35-2
tdb 1.4.12-1
tesseract 5.4.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.16.1-3
texinfo 7.1.1-1
themechanger-git-debug r46.04153a8-1
themechanger-git r46.04153a8-1
thunar 4.18.11-2
timeshift 24.06.3-1
tinysparql 3.8.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.1.3-1
tree-sitter 0.24.3-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-anonymouspro-nerd 3.2.1-2
ttf-dejavu-nerd 3.2.1-2
ttf-font-awesome 6.6.0-1
ttf-hack-nerd 3.2.1-2
ttf-icomoon-feather 1.0-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.2.1-2
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-common 3.2.1-1
ttf-nerd-fonts-symbols-mono 3.2.1-1
ttf-noto-nerd 3.2.1-2
ttf-roboto-mono-nerd 3.2.1-2
ttf-sourcecodepro-nerd 3.2.1-2
ttf-ubuntu-font-family 1:0.83-2
ttf-ubuntu-mono-nerd 3.2.1-2
ttf-ubuntu-nerd 3.2.1-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
udiskie 2.5.3-1
udisks2 2.10.1-5
unibilium 2.1.1-2
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.6-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R70-1
vid.stab 1.1.1-2
vim 9.1.0785-1
vim-runtime 9.1.0785-1
vlc 3.0.21-6
vmaf 3.0.0-1
volume_key 0.3.12-9
vte3 0.78.1-1
vte-common 0.78.1-1
vulkan-headers 1:1.3.295-1
vulkan-icd-loader 1.3.295-1
vulkan-intel 1:24.2.5-1
vulkan-radeon 1:24.2.5-1
wavpack 5.7.0-1
wayland 1.23.1-1
webkit2gtk 2.46.1-4
webkitgtk-6.0 2.46.1-4
webrtc-audio-processing-1 1.3-3
wget 1.24.5-3
which 2.21-6
wildmidi 0.4.6-1
wine 9.20-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wmctrl 1.07-6
woff2 1.0.2-5
wpa_supplicant 2:2.11-2
wxwidgets-common 3.2.6-1
wxwidgets-gtk3 3.2.6-1
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xapp 2.8.5-1
xautolock 2.2-7
xbitmaps 1.1.3-2
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-5
xcursor-arch-cursor-complete 06.10.2018-1
xcursor-arch-simple 1.1-2
xcursor-pinux-arch 0.3-1
xcursor-simp1e-gruvbox-dark 20230817-3
xcursor-simp1e-gruvbox-light 20230817-3
xdg-dbus-proxy 0.1.6-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.11-3
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
